{'loss': '0.02576', 'grad_norm': '0.3366', 'learning_rate':'3.01e-05', 'epoch': '2.55'}
{'loss': '0.02423', 'grad_norm': '0.1692', 'learning_rate':'2.999e-05', 'epoch': '2.552'}
{'loss': '0.0316', 'grad_norm': '0.3442', 'learning_rate': '2.988e-05', 'epoch': '2.553'}
{'loss': '0.02309', 'grad_norm': '0.118', 'learning_rate': '2.977e-05', 'epoch': '2.555'}
{'loss': '0.02251', 'grad_norm': '0.2941', 'learning_rate':'2.966e-05', 'epoch': '2.557'}
{'loss': '0.023', 'grad_norm': '0.2204', 'learning_rate': '2.954e-05', 'epoch': '2.558'}
{'loss': '0.02996', 'grad_norm': '0.1596', 'learning_rate':'2.943e-05', 'epoch': '2.56'}
{'loss': '0.02204', 'grad_norm': '0.06214', 'learning_rate': '2.932e-05', 'epoch': '2.562'}
{'loss': '0.02354', 'grad_norm': '0.0725', 'learning_rate':'2.921e-05', 'epoch': '2.563'}
{'loss': '0.02539', 'grad_norm': '0.15', 'learning_rate': '2.91e-05', 'epoch': '2.565'}
{'loss': '0.02578', 'grad_norm': '0.2789', 'learning_rate':'2.899e-05', 'epoch': '2.567'}
{'loss': '0.0192', 'grad_norm': '0.09139', 'learning_rate':'2.888e-05', 'epoch': '2.568'}
{'loss': '0.03307', 'grad_norm': '0.2962', 'learning_rate':'2.877e-05', 'epoch': '2.57'}
{'loss': '0.0191', 'grad_norm': '0.04867', 'learning_rate':'2.865e-05', 'epoch': '2.572'}
{'loss': '0.02458', 'grad_norm': '0.1665', 'learning_rate':'2.854e-05', 'epoch': '2.573'}
{'loss': '0.02173', 'grad_norm': '0.0717', 'learning_rate':'2.843e-05', 'epoch': '2.575'}
{'loss': '0.02869', 'grad_norm': '0.2443', 'learning_rate':'2.832e-05', 'epoch': '2.577'}
{'loss': '0.02272', 'grad_norm': '0.07263', 'learning_rate': '2.821e-05', 'epoch': '2.578'}
{'loss': '0.02694', 'grad_norm': '0.2139', 'learning_rate':'2.81e-05', 'epoch': '2.58'}
{'loss': '0.02602', 'grad_norm': '0.2289', 'learning_rate':'2.799e-05', 'epoch': '2.582'}
{'loss': '0.02518', 'grad_norm': '0.1546', 'learning_rate':'2.788e-05', 'epoch': '2.583'}
{'loss': '0.02323', 'grad_norm': '0.06091', 'learning_rate': '2.776e-05', 'epoch': '2.585'}
{'loss': '0.02741', 'grad_norm': '0.3247', 'learning_rate':'2.765e-05', 'epoch': '2.587'}
{'loss': '0.01893', 'grad_norm': '0.1458', 'learning_rate':'2.754e-05', 'epoch': '2.588'}
{'loss': '0.02738', 'grad_norm': '0.1379', 'learning_rate':'2.743e-05', 'epoch': '2.59'}
{'loss': '0.02218', 'grad_norm': '0.1511', 'learning_rate':'2.732e-05', 'epoch': '2.592'}
{'loss': '0.02525', 'grad_norm': '0.2158', 'learning_rate':'2.721e-05', 'epoch': '2.593'}
{'loss': '0.02721', 'grad_norm': '0.2586', 'learning_rate':'2.71e-05', 'epoch': '2.595'}
{'loss': '0.02731', 'grad_norm': '0.2657', 'learning_rate':'2.699e-05', 'epoch': '2.597'}
{'loss': '0.02546', 'grad_norm': '0.227', 'learning_rate': '2.687e-05', 'epoch': '2.598'}
{'loss': '0.02419', 'grad_norm': '0.08924', 'learning_rate': '2.676e-05', 'epoch': '2.6'}
{'loss': '0.02473', 'grad_norm': '0.2906', 'learning_rate':'2.665e-05', 'epoch': '2.602'}
{'loss': '0.02578', 'grad_norm': '0.1918', 'learning_rate':'2.654e-05', 'epoch': '2.603'}
{'loss': '0.02038', 'grad_norm': '0.09593', 'learning_rate': '2.643e-05', 'epoch': '2.605'}
{'loss': '0.02288', 'grad_norm': '0.1267', 'learning_rate':'2.632e-05', 'epoch': '2.607'}
{'loss': '0.02203', 'grad_norm': '0.2317', 'learning_rate':'2.621e-05', 'epoch': '2.608'}
{'loss': '0.02209', 'grad_norm': '0.2612', 'learning_rate':'2.61e-05', 'epoch': '2.61'}
{'loss': '0.01846', 'grad_norm': '0.0894', 'learning_rate':'2.598e-05', 'epoch': '2.612'}
{'loss': '0.01927', 'grad_norm': '0.08429', 'learning_rate': '2.587e-05', 'epoch': '2.613'}
{'loss': '0.03068', 'grad_norm': '0.4055', 'learning_rate':'2.576e-05', 'epoch': '2.615'}
{'loss': '0.02895', 'grad_norm': '0.3091', 'learning_rate':'2.565e-05', 'epoch': '2.617'}
{'loss': '0.02694', 'grad_norm': '0.06849', 'learning_rate': '2.554e-05', 'epoch': '2.618'}
{'loss': '0.0362', 'grad_norm': '0.2331', 'learning_rate': '2.543e-05', 'epoch': '2.62'}
{'loss': '0.03096', 'grad_norm': '0.3188', 'learning_rate':'2.532e-05', 'epoch': '2.622'}
{'loss': '0.02297', 'grad_norm': '0.2267', 'learning_rate':'2.521e-05', 'epoch': '2.623'}
{'loss': '0.02619', 'grad_norm': '0.08018', 'learning_rate': '2.509e-05', 'epoch': '2.625'}
{'loss': '0.02266', 'grad_norm': '0.1005', 'learning_rate':'2.498e-05', 'epoch': '2.627'}
{'loss': '0.02617', 'grad_norm': '0.3435', 'learning_rate':'2.487e-05', 'epoch': '2.628'}
{'loss': '0.01775', 'grad_norm': '0.1195', 'learning_rate':'2.476e-05', 'epoch': '2.63'}
{'loss': '0.02527', 'grad_norm': '0.266', 'learning_rate': '2.465e-05', 'epoch': '2.632'}
{'loss': '0.02075', 'grad_norm': '0.115', 'learning_rate': '2.454e-05', 'epoch': '2.633'}
{'loss': '0.02398', 'grad_norm': '0.2211', 'learning_rate':'2.443e-05', 'epoch': '2.635'}
{'loss': '0.038', 'grad_norm': '0.08712', 'learning_rate': '2.432e-05', 'epoch': '2.637'}
{'loss': '0.02181', 'grad_norm': '0.2031', 'learning_rate':'2.42e-05', 'epoch': '2.638'}
{'loss': '0.02856', 'grad_norm': '0.09862', 'learning_rate': '2.409e-05', 'epoch': '2.64'}
{'loss': '0.02332', 'grad_norm': '0.1756', 'learning_rate':'2.398e-05', 'epoch': '2.642'}
{'loss': '0.03377', 'grad_norm': '0.2111', 'learning_rate':'2.387e-05', 'epoch': '2.643'}
